idx,hpwl_normalized,hpwl_rescaled,macro_hpwl_normalized,macro_hpwl_rescaled,legality_2,original_hpwl_normalized,hpwl_ratio,model_time,generation_time,eval_time,model_vertices,model_edges,num_vertices,num_edges,lambda_2
0,2044.2392578125,24174.728515625,186.48672485351562,2205.864013671875,0.9999431405522573,2101.74072265625,0.9726410283514525,86.40038442611694,110.83946228027344,0.08446526527404785,758,42290,758,42290,0.021567153
1,3796.4345703125,62984.18359375,234.41751098632812,3889.3740234375,0.9997756055236163,3651.20751953125,1.0397750744115182,110.47079133987427,135.028902053833,0.07583498954772949,783,79868,783,79868,0.04006084
2,4460.16015625,79708.296875,150.9342041015625,2697.16259765625,0.9974947032025963,4434.4951171875,1.0057875898798547,106.28083348274231,130.27011680603027,0.07756614685058594,802,70276,802,70276,0.0820039
3,5219.99658203125,90683.265625,301.8272399902344,5243.48828125,0.999628963565066,5425.0107421875,0.9622094462298552,107.87756133079529,132.63619828224182,0.07823705673217773,807,75210,807,75210,0.029420119
4,9714.958984375,118020.3984375,0.0,0.0,0.9999897684568787,7335.0673828125,1.3244539521394245,130.81264758110046,151.2440640926361,0.0510101318359375,512,115506,512,115506,0.11930105
5,4726.3818359375,78706.3125,50.6288948059082,843.084228515625,0.998905899911958,5102.841796875,0.9262254296874253,119.31056618690491,142.90693068504333,0.06695365905761719,690,93404,690,93404,0.06853075
6,6913.8759765625,135219.0,124.04766845703125,2425.68115234375,0.999735557666209,6828.70751953125,1.0124721196196578,146.26499557495117,172.30166029930115,0.07995986938476562,803,125512,803,125512,0.0439705
7,7536.58544921875,157010.09375,922.3788452148438,19215.228515625,0.9948436262387219,7506.88134765625,1.003956916352724,180.31579303741455,202.51323080062866,0.08168530464172363,813,168792,813,168792,0.068226844
8,6572.9755859375,156025.109375,74.68738555908203,1772.5303955078125,0.9992460497150834,6511.052734375,1.0095104208318848,159.49967551231384,184.6005401611328,0.07675838470458984,765,147632,765,147632,0.030009585
9,9280.697265625,360767.375,385.99560546875,15004.919921875,0.9900925998026274,10886.337890625,0.8525086543214195,239.46731042861938,270.09284687042236,0.13484501838684082,1298,214336,1298,214336,0.039853834
10,8324.2802734375,217201.625,144.63699340820312,3773.94384765625,0.99645410304065,7867.1298828125,1.0581089161402746,176.34557485580444,203.86908626556396,0.08855009078979492,885,160636,885,160636,0.02498638
11,13195.041015625,452883.65625,230.13385009765625,7898.60009765625,0.9870235697336193,14254.1494140625,0.925698239321623,282.8033697605133,314.3631680011749,0.12338733673095703,1163,253392,1163,253392,0.052929636
12,9550.7744140625,270438.9375,155.5977020263672,4406.01318359375,0.9992538232363858,9715.763671875,0.9830183953228393,223.13801741600037,251.19069075584412,0.09656715393066406,936,210336,936,210336,0.018613609
13,14994.9404296875,454268.53125,288.9664001464844,8754.048828125,0.9986965883895761,13511.4599609375,1.1097942393374838,328.0833752155304,356.84093976020813,0.12609148025512695,1126,304556,1126,304556,0.038027223
14,15733.734375,536844.875,118.84921264648438,4055.5771484375,0.9901710546816131,16372.7197265625,0.9609725590962244,381.28527760505676,408.7257807254791,0.10606527328491211,905,375804,905,375804,0.014400903
15,17288.63671875,706512.5,517.7567749023438,21159.765625,0.9985785413089996,17244.388671875,1.002565938852165,444.3448803424835,472.71034240722656,0.1176307201385498,970,437208,970,437208,0.027704358
16,24101.244140625,883036.25,334.9120788574219,12270.62109375,0.9971861091022244,20761.861328125,1.1608421691930055,588.3523902893066,619.756026506424,0.16090178489685059,1272,572246,1272,572246,0.031096095
17,17449.5625,571935.5,127.63427734375,4182.85595703125,0.9990721027204609,15508.0380859375,1.125194715366546,457.47927927970886,483.646315574646,0.10106682777404785,797,465704,797,465704,0.032064516
