idx,hpwl_normalized,hpwl_rescaled,macro_hpwl_normalized,macro_hpwl_rescaled,legality_2,macro_legality,original_hpwl_normalized,hpwl_ratio,model_time,generation_time,eval_time,model_vertices,model_edges,num_vertices,num_edges,lambda_2
0,98.04244232177734,1159.562744140625,98.04244232177734,1159.562744140625,1.0,1.0,313.1361389160156,0.3130984582653768,124.38626551628113,254.69664525985718,0.08347392082214355,246,2040,12752,72910,0.0029649031
1,161.72341918945312,2682.668701171875,161.72341918945312,2682.668701171875,0.9992235181353901,0.9992235181353901,314.4429016113281,0.5143172841896548,120.67799925804138,250.72305989265442,0.046898841857910156,271,1728,19601,123230,0.0061757662
2,59.70011901855469,1066.93701171875,59.70011901855469,1066.93701171875,0.9998966662131751,0.9998966662131751,182.30938720703125,0.32746596285115587,122.46816897392273,251.9448094367981,0.04931211471557617,290,1246,23136,132344,0.008739175
3,138.234375,2401.51220703125,138.234375,2401.51220703125,0.9981176729662454,0.9981176729662454,364.35382080078125,0.3793959802485035,94.49886751174927,197.85993814468384,0.05071711540222168,295,1854,27507,147778,0.0037480379
4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.574920654296875e-05,49.23923945426941,0.0025365352630615234,0,0,29347,195724,0.017284779
5,19.050857543945312,317.23638916015625,19.050857543945312,317.23638916015625,0.999739821519855,0.999739821519855,51.936729431152344,0.36680895683274106,118.90573406219482,266.3931107521057,0.031023740768432617,178,184,32498,186712,0.00906397
6,39.860069274902344,779.5911865234375,39.860069274902344,779.5911865234375,0.9998193714414015,0.9998193714414015,116.84095764160156,0.3411480877892946,92.82897663116455,191.5251021385193,0.04919624328613281,291,1138,45926,255044,0.0031564482
7,447.601318359375,9324.3984375,447.601318359375,9324.3984375,0.9943141208623594,0.9943141208623594,954.7698974609375,0.4688054363147616,107.33075547218323,208.99657273292542,0.052307844161987305,301,3972,51309,308754,0.006894802
8,18.3477783203125,435.5362854003906,18.347780227661133,435.53631591796875,0.9999677183177885,0.9999677183177885,71.33805847167969,0.25719480896156344,112.28816103935242,239.20832347869873,0.042327880859375,253,904,53395,322372,0.002563824
9,135.78964233398438,5278.16650390625,135.78964233398438,5278.166015625,0.9992064036660571,0.9992064036660571,606.206787109375,0.22399888160520462,121.04973411560059,270.1544704437256,0.1439347267150879,786,5120,69429,444742,0.0028557938
10,28.93352508544922,754.9459228515625,28.93352508544922,754.946044921875,0.9997254514042172,0.9997254514042172,135.764892578125,0.21311492637022944,106.75481343269348,237.73564267158508,0.06414937973022461,373,1378,70558,398664,0.002502794
11,83.05874633789062,2850.7158203125,83.05874633789062,2850.7158203125,0.9997646520155556,0.9997646520155556,397.5434265136719,0.20892999556372782,112.1437931060791,225.30754280090332,0.11648368835449219,651,3758,71076,481040,0.0030391468
12,37.06426239013672,1049.484375,37.06426239013672,1049.484375,0.9997404984974368,0.9997404984974368,140.55181884765625,0.2637053201731283,123.56698942184448,254.70335149765015,0.07303333282470703,424,1730,84199,514818,0.001316029
13,79.9183349609375,2420.965576171875,79.9183349609375,2420.9658203125,0.9999973992569677,0.9999973992569677,246.90975952148438,0.32367426510730357,101.15042781829834,208.92492651939392,0.10850667953491211,614,4680,147605,788088,0.0010474237
14,31.005159378051758,1057.9180908203125,31.005157470703125,1057.918212890625,1.0,1.0,82.76774597167969,0.3746043705075727,122.31036734580994,249.9862506389618,0.06772661209106445,393,1546,161570,1058430,0.000687559
15,149.39730834960938,6105.7958984375,149.39730834960938,6105.79638671875,0.9990009226378861,0.9990009226378861,421.6462707519531,0.3543190553616852,114.51477193832397,248.8481764793396,0.0800178050994873,458,4452,183484,1177550,0.0014671413
16,87.45585632324219,3204.37548828125,87.45585632324219,3204.37548828125,0.9999985206115793,0.9999985206115793,408.51202392578125,0.21408392213966077,123.07166886329651,262.0872187614441,0.13677644729614258,760,4622,185495,1340910,0.0024257603
17,46.37129211425781,1519.6181640625,46.37129211425781,1519.6181640625,0.9994542958068795,0.9994542958068795,133.19900512695312,0.3481354239099679,121.93436169624329,250.8613874912262,0.049039602279663086,285,1746,210613,1235554,0.0016001543
